episodeId,nodeId,lineId,order,speaker,portraitKey,position,SpriteType,productionKey,BGICode,BGMCode,text,tags,nextNode
detective_short_ep1,n000,l000,0,탐정,Detective,-1,Normal,,BGI_detective_short_ep1,BGM_detective_short_ep1,조수야. 조수야.,,n001
detective_short_ep1,n001,l001,1,조수,Assist,2,Normal,,,,케이크는 어제 13시 30분에 제가 사 왔으니 오늘은 소장님이 사 오실 차례인데요.,,n002
detective_short_ep1,n002,l002,2,탐정,Detective,-1,Normal,,,,"아니아니. 그게 아니고, 오늘도 뭐 재밌는 일거리 없나?",,n003
detective_short_ep1,n003,l003,3,조수,Assist,2,Normal,,,,"저는 아침 9시 30분부터 소장님이랑 쭉 같이 있었는데, 소장님도 모르면 저도 모르지 않을까요?",,n004
detective_short_ep1,n004,l004,4,탐정,Detective,-1,Normal,,,,그래 그렇지. 너무 심심해서 그냥 물어봤어. 그런데 오늘따라 까칠하네.,,n005
detective_short_ep1,n005,l005,5,조수,Assist,2,Normal,,,,그건-,,n006
detective_short_ep1,n006,l006,6,탐정,Detective,-1,Normal,,,,"뭐, 아침부터 편의점에서 늘 마시던 커피가 떨어졌는데, 오는 길에 계단에서 발을 헛디뎌서 사 오던 물건까지 떨어지면 기분이 나쁘기는 하겠지.",,n007
detective_short_ep1,n007,l007,7,조수,Assist,2,Normal,,,,쉬고 있어도 소장님의 머리는 잘 돌아가네요.,,n008
detective_short_ep1,n008,l008,8,탐정,Detective,-1,Normal,,,,"어라, 어떻게 알았냐고는 안 물어봐?",,n009
detective_short_ep1,n009,l009,9,조수,Assist,2,Normal,,,,말씀하신 대로 오늘 제가 기분이 까칠해서 소장님이 의기양양하게 설명하는 모습을 보면 기분이 더 안 좋아질 것 같아서요.,,n010
detective_short_ep1,n010,l010,10,탐정,Detective,-1,Normal,,,,하지만 내 기분은 좋아지니까 설명할게.,,n011
detective_short_ep1,n011,l011,11,조수,Assist,2,Normal,,,,에휴.,,n012
detective_short_ep1,n012,l012,12,탐정,Detective,-1,Normal,,,,"설명이라 해봤자 네가 늘 마시던 커피가 아닌 걸 마시고, 편의점 봉투에 먼지가 좀 묻어있었던 것뿐이지만. 아, 우리 사무소로 올라오는 계단 상태가 좀 안 좋은 것도 있고.",,n013
detective_short_ep1,n013,l013,13,조수,Assist,2,Normal,,,,할 일 없으면 계단이나 좀 손 보라고 건물주에게 연락하는 건 어떨까요.,,n014
detective_short_ep1,n014,l014,14,탐정,Detective,-1,Normal,,,,"어제 발견하자마자 했지. 사람은 불렀고, 수리공이 오면 우리 쪽에 먼저 온다고 했으니까 조금 있으면-",,n015
